dates;values
2002-09;82.79
2002-08;86.42
2002-07;83.96
2002-06;88.09
2002-05;88.53
2002-04;87.27
2002-03;90.26
2002-02;86.84
2002-01;87.56
2001-12;84.47
2001-11;83.89
2001-10;83.25
2001-09;76.7
2001-08;83.17
2001-07;78.49
2001-06;78.14
2001-05;76.59
2001-04;83.02
2001-03;86.4
2001-02;88.06
2001-01;82.48
2000-12;92.6
2000-11;85.91
2000-10;87.29
2000-09;78.65
2000-08;83.06
2000-07;83.67
2000-06;87.75
2000-05;95.27
2000-04;100.04
2000-03;85.66
2000-02;86.53
2000-01;88.21
1999-12;101.27
1999-11;101.08
1999-10;98.63
1999-09;95.99
1999-08;99.45
1999-07;94.98
1999-06;93.28
1999-05;98.87
1999-04;101.14
1999-03;95.61
1999-02;94.54
1999-01;95.47
1998-12;87.81
1998-11;85.75
1998-10;83.15
1998-09;83.16
1998-08;89.3
1998-07;88.14
1998-06;81.61
1998-05;78.74
1998-04;79.43
1998-03;82.85
1998-02;84.1
1998-01;83.28
1997-12;87.44
1997-11;86.09
1997-10;87.61
1997-09;92.24
1997-08;90.3
1997-07;91.5
1997-06;91.73
1997-05;85.66
1997-04;85.69
1997-03;88.39
1997-02;86.8
1997-01;84.99
1996-12;81.54
1996-11;82.25
1996-10;80.86
1996-09;83.84
1996-08;88.21
1996-07;79.33
1996-06;86.28
1996-05;90.35
1996-04;82.24
1996-03;84.53
1996-02;85.96
1996-01;85.51
1995-12;78.07
1995-11;91.12
1995-10;87.67
1995-09;77.6
1995-08;96.71
1995-07;84.6
1995-06;83.8
1995-05;87.79
1995-04;86.43
1995-03;86.95
1995-02;85.04
1995-01;86.71
1994-12;85.37
1994-11;84.08
1994-10;85.1
1994-09;79.48
1994-08;77.58
1994-07;82.89
1994-06;76.89
1994-05;75.12
1994-04;78.81
1994-03;74.76
1994-02;75.81
1994-01;76.21
1993-12;73.58
1993-11;75.16
1993-10;76.62
1993-09;74.13
1993-08;71.3
1993-07;74.18
1993-06;70.06
1993-05;69.81
1993-04;67.28
1993-03;63.91
1993-02;64.85
1993-01;67.3
1992-12;66.14
1992-11;66.52
1992-10;66.43
1992-09;67.48
1992-08;68.76
1992-07;67.21
1992-06;68.84
1992-05;69.9
1992-04;65.44
1992-03;71.75
1992-02;72.09
1992-01;69.81
1991-12;73.83
1991-11;74.81
1991-10;71.27
1991-09;72.94
1991-08;73.07
1991-07;69.46
1991-06;74.74
1991-05;73.07
1991-04;71.57
1991-03;73.6
1991-02;71.56
1991-01;70.5
1990-12;71.16
1990-11;66.46
1990-10;67.23
1990-09;68.11
1990-08;64.5
1990-07;65.05
1990-06;68.43
1990-05;65.88
1990-04;69.77
1990-03;65.13
1990-02;65.07
1990-01;64.91
